date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
01/12/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,197235,858621.28,0,0
01/12/2016,Y59,SOUTH EAST COMMISSIONING REGION,201719,755473.5,0,0
01/12/2016,Y60,MIDLANDS COMMISSIONING REGION,250743,1101907.22,0,0
01/01/2017,Y56,LONDON COMMISSIONING REGION,133419,476822.39,0,0
01/01/2017,Y58,SOUTH WEST COMMISSIONING REGION,154372,457588.85,0,0
01/01/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,164298,635944.29,0,0
01/01/2017,Y62,NORTH WEST COMMISSIONING REGION,186568,851940.71,0,0
01/01/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,189879,893102.07,0,0
01/01/2017,Y59,SOUTH EAST COMMISSIONING REGION,196852,764573.94,0,0
01/01/2017,Y60,MIDLANDS COMMISSIONING REGION,243698,1085615.71,0,0
01/02/2017,Y56,LONDON COMMISSIONING REGION,124416,427478.61,0,0
01/02/2017,Y58,SOUTH WEST COMMISSIONING REGION,144244,444399.52,0,0
01/02/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,153645,594172.86,0,0
01/02/2017,Y62,NORTH WEST COMMISSIONING REGION,171406,787399.84,0,0
01/02/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,175882,790566.74,0,0
01/02/2017,Y59,SOUTH EAST COMMISSIONING REGION,181325,710916.83,0,0
01/02/2017,Y60,MIDLANDS COMMISSIONING REGION,225962,1019787.63,0,0
01/03/2017,Y56,LONDON COMMISSIONING REGION,141030,517276,0,0
01/03/2017,Y58,SOUTH WEST COMMISSIONING REGION,163938,501138.76,0,0
01/03/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,174282,683018.5,0,0
01/03/2017,Y62,NORTH WEST COMMISSIONING REGION,197742,932760.72,0,0
01/03/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,201017,925018.43,0,0
01/03/2017,Y59,SOUTH EAST COMMISSIONING REGION,207746,824541.16,0,0
01/03/2017,Y60,MIDLANDS COMMISSIONING REGION,257620,1154165.76,0,0
01/04/2017,Y56,LONDON COMMISSIONING REGION,122410,432234.51,0,0
01/04/2017,Y58,SOUTH WEST COMMISSIONING REGION,145000,428985.71,0,0
01/04/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,153733,591241.17,0,0
01/04/2017,Y62,NORTH WEST COMMISSIONING REGION,172866,776998.81,0,0
01/04/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,177025,806043.93,0,0
01/04/2017,Y59,SOUTH EAST COMMISSIONING REGION,180847,707293.43,0,0
01/04/2017,Y60,MIDLANDS COMMISSIONING REGION,225757,1017488.71,0,0
01/05/2017,Y56,LONDON COMMISSIONING REGION,134391,481465.76,0,0
01/05/2017,Y58,SOUTH WEST COMMISSIONING REGION,156795,464817.99,0,0
01/05/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,166835,630154.12,0,0
01/05/2017,Y62,NORTH WEST COMMISSIONING REGION,186831,850513.01,0,0
01/05/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,191878,867768.26,0,0
01/05/2017,Y59,SOUTH EAST COMMISSIONING REGION,196236,773785.57,0,0
01/05/2017,Y60,MIDLANDS COMMISSIONING REGION,244705,1090293.49,0,0
01/06/2017,Y56,LONDON COMMISSIONING REGION,132607,472374.89,0,0
01/06/2017,Y58,SOUTH WEST COMMISSIONING REGION,154810,459268.66,0,0
01/06/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,164312,640318.77,0,0
01/06/2017,Y62,NORTH WEST COMMISSIONING REGION,188090,855482.15,0,0
01/06/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,191980,871137.96,0,0
01/06/2017,Y59,SOUTH EAST COMMISSIONING REGION,194922,801359.18,0,0
01/06/2017,Y60,MIDLANDS COMMISSIONING REGION,243593,1123872.82,0,0
01/07/2017,Y56,LONDON COMMISSIONING REGION,129072,460960.37,0,0
01/07/2017,Y58,SOUTH WEST COMMISSIONING REGION,151403,468680.19,0,0
01/07/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,160401,621054.94,0,0
01/07/2017,Y62,NORTH WEST COMMISSIONING REGION,181361,849663.08,0,0
01/07/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,184325,840646.17,0,0
01/07/2017,Y59,SOUTH EAST COMMISSIONING REGION,188653,762508.08,0,0
01/07/2017,Y60,MIDLANDS COMMISSIONING REGION,235226,1055835.63,0,0
01/08/2017,Y56,LONDON COMMISSIONING REGION,131162,450894.65,0,0
01/08/2017,Y58,SOUTH WEST COMMISSIONING REGION,156007,439406.54,0,0
01/08/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,164474,597477.06,0,0
01/08/2017,Y62,NORTH WEST COMMISSIONING REGION,186856,799432.39,0,0
01/08/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,190823,807696.75,0,0
01/08/2017,Y59,SOUTH EAST COMMISSIONING REGION,193245,739019.38,0,0
01/08/2017,Y60,MIDLANDS COMMISSIONING REGION,242802,1000670.87,0,0
01/09/2017,Y56,LONDON COMMISSIONING REGION,128939,450486.94,0,0
01/09/2017,Y58,SOUTH WEST COMMISSIONING REGION,152516,446576.86,0,0
01/09/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,161407,619795.5,0,0
01/09/2017,Y62,NORTH WEST COMMISSIONING REGION,181285,837944.44,0,0
01/09/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,185256,857288.62,0,0
01/09/2017,Y59,SOUTH EAST COMMISSIONING REGION,190153,756236.76,0,0
01/09/2017,Y60,MIDLANDS COMMISSIONING REGION,237407,1064167.78,0,0
01/10/2017,Y56,LONDON COMMISSIONING REGION,132846,454996.35,0,0
01/10/2017,Y58,SOUTH WEST COMMISSIONING REGION,154897,440951.4,0,0
01/10/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,164791,607809.46,0,0
01/10/2017,Y62,NORTH WEST COMMISSIONING REGION,185120,828303.8,0,0
01/10/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,188608,838929.62,0,0
01/10/2017,Y59,SOUTH EAST COMMISSIONING REGION,194190,787497.05,0,0
01/10/2017,Y60,MIDLANDS COMMISSIONING REGION,241156,1047229.11,0,0
01/11/2017,Y56,LONDON COMMISSIONING REGION,131488,461971.76,0,0
01/11/2017,Y58,SOUTH WEST COMMISSIONING REGION,154799,450096.6,0,0
01/11/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,163789,616091.4,0,0
01/11/2017,Y62,NORTH WEST COMMISSIONING REGION,183418,815956.71,0,0
01/11/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,187105,849740.75,0,0
01/11/2017,Y59,SOUTH EAST COMMISSIONING REGION,191799,762960.97,0,0
01/11/2017,Y60,MIDLANDS COMMISSIONING REGION,241692,1073538.61,0,0
01/12/2017,Y56,LONDON COMMISSIONING REGION,128578,441624.36,0,0
01/12/2017,Y58,SOUTH WEST COMMISSIONING REGION,152204,432635.99,0,0
01/12/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,160984,610279.84,0,0
01/12/2017,Y62,NORTH WEST COMMISSIONING REGION,180281,795127.89,0,0
01/12/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,183595,819967.18,0,0
01/12/2017,Y59,SOUTH EAST COMMISSIONING REGION,191303,751055.72,0,0
01/12/2017,Y60,MIDLANDS COMMISSIONING REGION,236007,1048111.63,0,0
01/01/2018,Y56,LONDON COMMISSIONING REGION,134924,467361.44,0,0
01/01/2018,Y58,SOUTH WEST COMMISSIONING REGION,157287,435929.37,0,0
01/01/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,167188,603491.96,0,0
01/01/2018,Y62,NORTH WEST COMMISSIONING REGION,187191,788675.74,0,0
01/01/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,189731,823560.88,0,0
01/01/2018,Y59,SOUTH EAST COMMISSIONING REGION,196333,728186.5,0,0
01/01/2018,Y60,MIDLANDS COMMISSIONING REGION,247293,1054923.23,0,0
01/02/2018,Y56,LONDON COMMISSIONING REGION,120553,419952.52,0,0
01/02/2018,Y58,SOUTH WEST COMMISSIONING REGION,139895,382683.78,0,0
01/02/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,147448,532361.05,0,0
01/02/2018,Y62,NORTH WEST COMMISSIONING REGION,166225,705352.75,0,0
01/02/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,167616,725632.53,0,0
01/02/2018,Y59,SOUTH EAST COMMISSIONING REGION,173889,658745.86,0,0
