date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2016-12-01,Y60,"MIDLANDS COMMISSIONING REGION",109416,317005.73,0,0
2017-01-01,Y56,"LONDON COMMISSIONING REGION",52334,127949.55,0,0
2017-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",66865,185946.36,0,0
2017-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",69056,160505.19,0,0
2017-01-01,Y62,"NORTH WEST COMMISSIONING REGION",78864,285782.04,0,0
2017-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",80029,254137.64,0,0
2017-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",80840,244146.24,0,0
2017-01-01,Y60,"MIDLANDS COMMISSIONING REGION",105751,336695.53,0,0
2017-02-01,Y56,"LONDON COMMISSIONING REGION",48780,116036.06,0,0
2017-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",62793,173313.72,0,0
2017-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",64662,156682.51,0,0
2017-02-01,Y62,"NORTH WEST COMMISSIONING REGION",73141,268995.95,0,0
2017-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",74765,231447.25,0,0
2017-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",74957,242777.71,0,0
2017-02-01,Y60,"MIDLANDS COMMISSIONING REGION",98134,317029.82,0,0
2017-03-01,Y56,"LONDON COMMISSIONING REGION",55748,133819.82,0,0
2017-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",71475,200242.72,0,0
2017-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",74498,179182.33,0,0
2017-03-01,Y62,"NORTH WEST COMMISSIONING REGION",84757,310837.92,0,0
2017-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",86154,278124.22,0,0
2017-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",86392,267411.26,0,0
2017-03-01,Y60,"MIDLANDS COMMISSIONING REGION",113217,363566.78,0,0
2017-04-01,Y56,"LONDON COMMISSIONING REGION",48689,120068.75,0,0
2017-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",63110,185617.32,0,0
2017-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",66219,159724.94,0,0
2017-04-01,Y62,"NORTH WEST COMMISSIONING REGION",74723,285266.28,0,0
2017-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",75797,243481.14,0,0
2017-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",76191,251141.06,0,0
2017-04-01,Y60,"MIDLANDS COMMISSIONING REGION",99261,325198.72,0,0
2017-05-01,Y56,"LONDON COMMISSIONING REGION",53935,121767.01,0,0
2017-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",69385,183391.44,0,0
2017-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",72283,164828.22,0,0
2017-05-01,Y62,"NORTH WEST COMMISSIONING REGION",81656,266821.48,0,0
2017-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",82710,236199.26,0,0
2017-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",83910,245090.09,0,0
2017-05-01,Y60,"MIDLANDS COMMISSIONING REGION",109107,328690.24,0,0
2017-06-01,Y56,"LONDON COMMISSIONING REGION",53207,126600.23,0,0
2017-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",68461,188088.54,0,0
2017-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",71858,166882.45,0,0
2017-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",81985,254588.4,0,0
2017-06-01,Y62,"NORTH WEST COMMISSIONING REGION",82243,282833.15,0,0
2017-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",83789,253179.69,0,0
2017-06-01,Y60,"MIDLANDS COMMISSIONING REGION",108772,340933.93,0,0
2017-07-01,Y56,"LONDON COMMISSIONING REGION",52505,125958.73,0,0
2017-07-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",67048,186766.31,0,0
2017-07-01,Y58,"SOUTH WEST COMMISSIONING REGION",70359,170476.03,0,0
2017-07-01,Y62,"NORTH WEST COMMISSIONING REGION",79446,308407.34,0,0
2017-07-01,Y59,"SOUTH EAST COMMISSIONING REGION",79644,268123.78,0,0
2017-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",80902,272678.36,0,0
2017-07-01,Y60,"MIDLANDS COMMISSIONING REGION",105529,348172.25,0,0
2017-08-01,Y56,"LONDON COMMISSIONING REGION",52661,118234.85,0,0
2017-08-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",68985,182971.28,0,0
2017-08-01,Y58,"SOUTH WEST COMMISSIONING REGION",72410,165024.24,0,0
2017-08-01,Y59,"SOUTH EAST COMMISSIONING REGION",81466,255539.96,0,0
2017-08-01,Y62,"NORTH WEST COMMISSIONING REGION",81986,294449.63,0,0
2017-08-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",83604,266409.23,0,0
2017-08-01,Y60,"MIDLANDS COMMISSIONING REGION",108569,338690.04,0,0
2017-09-01,Y56,"LONDON COMMISSIONING REGION",51596,116583.42,0,0
2017-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",66767,171577.46,0,0
2017-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",70496,160891.19,0,0
2017-09-01,Y62,"NORTH WEST COMMISSIONING REGION",78787,286208.26,0,0
2017-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",79646,242390.61,0,0
2017-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",80658,253663.77,0,0
2017-09-01,Y60,"MIDLANDS COMMISSIONING REGION",105271,326107.18,0,0
2017-10-01,Y56,"LONDON COMMISSIONING REGION",52620,108511.89,0,0
2017-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",68084,166050.51,0,0
2017-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",70843,151734.52,0,0
2017-10-01,Y62,"NORTH WEST COMMISSIONING REGION",80271,264914.96,0,0
2017-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",80596,244149.47,0,0
2017-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",81819,239970.47,0,0
2017-10-01,Y60,"MIDLANDS COMMISSIONING REGION",106388,312699.78,0,0
2017-11-01,Y56,"LONDON COMMISSIONING REGION",51769,110583.78,0,0
2017-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",67412,166995.21,0,0
2017-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",70593,156817.93,0,0
2017-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",79000,231743.04,0,0
2017-11-01,Y62,"NORTH WEST COMMISSIONING REGION",79046,262830.02,0,0
2017-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",80262,238794.28,0,0
2017-11-01,Y60,"MIDLANDS COMMISSIONING REGION",106164,312344.7,0,0
2017-12-01,Y56,"LONDON COMMISSIONING REGION",50438,101537.59,0,0
2017-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",66012,159304.03,0,0
2017-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",69257,142416.57,0,0
2017-12-01,Y62,"NORTH WEST COMMISSIONING REGION",77958,250946.41,0,0
2017-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",78116,216180.15,0,0
2017-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",78720,218062.78,0,0
2017-12-01,Y60,"MIDLANDS COMMISSIONING REGION",103723,294536.57,0,0
2018-01-01,Y56,"LONDON COMMISSIONING REGION",52153,98890.38,0,0
2018-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",68049,147283.27,0,0
2018-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",71010,135457.14,0,0
2018-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",79901,196035.98,0,0
2018-01-01,Y62,"NORTH WEST COMMISSIONING REGION",80462,226146.37,0,0
2018-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",81055,204408.06,0,0
2018-01-01,Y60,"MIDLANDS COMMISSIONING REGION",107433,280243.96,0,0
2018-02-01,Y56,"LONDON COMMISSIONING REGION",47174,86030.48,0,0
2018-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",60243,127194.1,0,0
2018-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",63468,118787.6,0,0
2018-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",71400,177609,0,0
2018-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",71692,182227.1,0,0
2018-02-01,Y62,"NORTH WEST COMMISSIONING REGION",71918,205982.76,0,0
2018-02-01,Y60,"MIDLANDS COMMISSIONING REGION",96024,247373.93,0,0
2018-03-01,Y56,"LONDON COMMISSIONING REGION",51006,90446.34,0,0
2018-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",67425,144363.48,0,0
2018-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",69526,130719.16,0,0
2018-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",78550,187462.17,0,0
2018-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",79864,194885.89,0,0
2018-03-01,Y62,"NORTH WEST COMMISSIONING REGION",80148,229795.07,0,0
2018-03-01,Y60,"MIDLANDS COMMISSIONING REGION",106258,272124.91,0,0
2018-04-01,Y56,"LONDON COMMISSIONING REGION",48823,82567.81,0,0
2018-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",63424,126782.09,0,0
2018-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",67157,118032.87,0,0
2018-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",74641,175529.65,0,0
2018-04-01,Y62,"NORTH WEST COMMISSIONING REGION",75949,206064.27,0,0
2018-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",77052,184537.48,0,0
2018-04-01,Y60,"MIDLANDS COMMISSIONING REGION",100534,240228.09,0,0
2018-05-01,Y56,"LONDON COMMISSIONING REGION",51854,89764.46,0,0
2018-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",66726,132659.65,0,0
2018-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",69826,119329.85,0,0
2018-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",78379,181733.6,0,0
2018-05-01,Y62,"NORTH WEST COMMISSIONING REGION",80615,216374.04,0,0
2018-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",80926,191057.03,0,0
2018-05-01,Y60,"MIDLANDS COMMISSIONING REGION",106483,259515.31,0,0
2018-06-01,Y56,"LONDON COMMISSIONING REGION",49612,84176.56,0,0
2018-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",64404,127255.64,0,0
2018-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",67479,113408.57,0,0
2018-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",76029,176667.21,0,0
2018-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",77797,183639.39,0,0
2018-06-01,Y62,"NORTH WEST COMMISSIONING REGION",77926,211353.21,0,0
2018-06-01,Y60,"MIDLANDS COMMISSIONING REGION",103374,260151.82,0,0
2018-07-01,Y56,"LONDON COMMISSIONING REGION",51030,82072.72,0,0
2018-07-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",64632,121166.96,0,0
2018-07-01,Y58,"SOUTH WEST COMMISSIONING REGION",68305,113792.99,0,0
2018-07-01,Y59,"SOUTH EAST COMMISSIONING REGION",76624,162001.81,0,0
2018-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",78583,169972.31,0,0
2018-07-01,Y62,"NORTH WEST COMMISSIONING REGION",78933,197686.79,0,0
2018-07-01,Y60,"MIDLANDS COMMISSIONING REGION",103583,236508.61,0,0
2018-08-01,Y56,"LONDON COMMISSIONING REGION",51726,89897.31,0,0
2018-08-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",67463,140201.43,0,0
2018-08-01,Y58,"SOUTH WEST COMMISSIONING REGION",70391,125625.68,0,0
2018-08-01,Y59,"SOUTH EAST COMMISSIONING REGION",79016,184187.17,0,0
2018-08-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",81768,195729.42,0,0
2018-08-01,Y62,"NORTH WEST COMMISSIONING REGION",82201,221275.88,0,0
2018-08-01,Y60,"MIDLANDS COMMISSIONING REGION",107987,272244.71,0,0
2018-09-01,Y56,"LONDON COMMISSIONING REGION",47822,89161,0,0
2018-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",62706,128110.97,0,0
2018-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",65906,122344.97,0,0
2018-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",73641,178655.33,0,0
2018-09-01,Y62,"NORTH WEST COMMISSIONING REGION",74387,207954.93,0,0
2018-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",75353,186274.61,0,0
2018-09-01,Y60,"MIDLANDS COMMISSIONING REGION",100259,255726.15,0,0
2018-10-01,Y56,"LONDON COMMISSIONING REGION",52856,94269.49,0,0
2018-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",67711,138636.31,0,0
2018-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",70504,129690.96,0,0
2018-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",79851,185182.64,0,0
2018-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",81016,199980,0,0
2018-10-01,Y62,"NORTH WEST COMMISSIONING REGION",82334,226573.28,0,0
2018-10-01,Y60,"MIDLANDS COMMISSIONING REGION",108751,271198.06,0,0
2018-11-01,Y56,"LONDON COMMISSIONING REGION",50721,85467.62,0,0
2018-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",64844,127759.11,0,0
2018-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",68909,120087.18,0,0
2018-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",76525,169896.45,0,0
2018-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",77710,185079.66,0,0
2018-11-01,Y62,"NORTH WEST COMMISSIONING REGION",79743,215363.43,0,0
2018-11-01,Y60,"MIDLANDS COMMISSIONING REGION",104695,259311.32,0,0
2018-12-01,Y56,"LONDON COMMISSIONING REGION",48723,83635.13,0,0
2018-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",63762,123965.97,0,0
2018-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",68028,121278.43,0,0
2018-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",75700,166296.76,0,0
2018-12-01,Y62,"NORTH WEST COMMISSIONING REGION",76646,211805.98,0,0
2018-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",76867,186247.55,0,0
2018-12-01,Y60,"MIDLANDS COMMISSIONING REGION",102603,262151.01,0,0
2019-01-01,Y56,"LONDON COMMISSIONING REGION",51738,91562.98,0,0
2019-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",65787,129815.18,0,0
2019-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",69808,126589.28,0,0
2019-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",77911,173055.16,0,0
2019-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",79118,189172.01,0,0
2019-01-01,Y62,"NORTH WEST COMMISSIONING REGION",79869,225139.15,0,0
2019-01-01,Y60,"MIDLANDS COMMISSIONING REGION",107051,262528.74,0,0
2019-02-01,Y56,"LONDON COMMISSIONING REGION",46271,78392.68,0,0
2019-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",59175,115071.88,0,0
2019-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",62907,114310.26,0,0
2019-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",69699,153822.33,0,0
2019-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",71065,173748.26,0,0
2019-02-01,Y62,"NORTH WEST COMMISSIONING REGION",72134,201043.2,0,0
2019-02-01,Y60,"MIDLANDS COMMISSIONING REGION",96531,244420.15,0,0
2019-03-01,Y56,"LONDON COMMISSIONING REGION",49920,89331.31,0,0
2019-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",63660,127294.66,0,0
2019-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",67484,116853.8,0,0
2019-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",75050,164521.04,0,0
2019-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",75809,186639.38,0,0
2019-03-01,Y62,"NORTH WEST COMMISSIONING REGION",77166,218952.89,0,0
2019-03-01,Y60,"MIDLANDS COMMISSIONING REGION",102973,251671.46,0,0
2019-04-01,Y56,"LONDON COMMISSIONING REGION",48270,85630.2,0,0
2019-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",62337,121277.88,0,0
2019-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",66083,115476.27,0,0
2019-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",73604,160683.57,0,0
2019-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",74745,177671.01,0,0
2019-04-01,Y62,"NORTH WEST COMMISSIONING REGION",76337,206382.78,0,0
2019-04-01,Y60,"MIDLANDS COMMISSIONING REGION",101291,248356.99,0,0
2019-05-01,Y56,"LONDON COMMISSIONING REGION",51807,93870.26,0,0
2019-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",66911,132606.59,0,0
2019-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",70634,121966.96,0,0
2019-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",77912,172196.28,0,0
2019-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",79520,191583.56,0,0
2019-05-01,Y62,"NORTH WEST COMMISSIONING REGION",81778,221075.1,0,0
2019-05-01,Y60,"MIDLANDS COMMISSIONING REGION",108480,269044.06,0,0
2019-06-01,Y56,"LONDON COMMISSIONING REGION",47834,85610.02,0,0
2019-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",61826,122125.26,0,0
2019-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",65356,115383.97,0,0
2019-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",72511,157565.5,0,0
2019-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",73467,183785.4,0,0
2019-06-01,Y62,"NORTH WEST COMMISSIONING REGION",74470,205338.69,0,0
2019-06-01,Y60,"MIDLANDS COMMISSIONING REGION",100364,252598.92,0,0
2019-07-01,Y56,"LONDON COMMISSIONING REGION",51075,87648.92,0,0
2019-07-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",64183,127011.87,0,0
2019-07-01,Y58,"SOUTH WEST COMMISSIONING REGION",65608,116778.24,0,0
2019-07-01,Y59,"SOUTH EAST COMMISSIONING REGION",74458,159672.6,0,0
2019-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",76023,185916.67,0,0
2019-07-01,Y62,"NORTH WEST COMMISSIONING REGION",78716,217018.97,0,0
2019-07-01,Y60,"MIDLANDS COMMISSIONING REGION",103746,250024.89,0,0
2019-08-01,Y56,"LONDON COMMISSIONING REGION",49837,97643.2,0,0
